1, 64, 27.17
2, 64, 27.83
4, 64, 28.36
8, 64, 28.91
16, 64, 28.91
32, 64, 29.39
64, 64, 42.13
128, 64, 75.57
256, 64, 141.02
512, 64, 268.67
1024, 64, 880.67
2048, 64, 1341.28
