16, 1, 18.57, 13.07
32, 1, 20.27, 13.31
64, 1, 17.77, 13.50
128, 1, 19.54, 13.75
256, 1, 19.74, 13.89
512, 1, 22.81, 14.24
1024, 1, 27.50, 17.10
2048, 1, 43.05, 20.70
